AshVolW
75.04
74.48
73.88
73.31
72.76
72.26
71.79
71.32
70.77
70.21
69.85
69.68
69.68
69.58
69.52
69.4
69.32
69.23
69.09
69.06
68.99
68.93
68.89
68.85
68.76
68.69
68.65
68.73
68.82
68.89
69.04
69.12
69.19
69.18
69.21
69.07
68.88
68.63
68.36
68.09
67.91
67.76
67.77
67.89
67.95
67.97
67.95
67.93
68.15
68.44
68.69
68.86
69.02
69.17
69.27
69.33
69.36
69.51
69.82
77.67
77.75
78.07
78.39
78.78
79.01
79.14
79.15
79.11
79.09
70.16
70.53
70.81
71.1
71.42
71.67
71.97
72.25
72.68
73.08
73.46
73.93
74.32
74.88
75.99
76.98
77.71
77.75
77.84
77.76
77.93
78.29
78.41
