AshVolS
77.49
77.51
77.5
77.57
77.59
77.58
77.53
77.58
77.57
77.56
77.51
77.47
77.43
77.4
77.42
77.39
77.37
77.34
77.33
77.35
77.33
76.82
76.42
76.1
75.75
75.42
74.92
74.39
73.83
73.3
72.79
72.28
71.77
71.22
70.61
70.11
69.62
69.15
68.66
68.19
67.7
67.08
66.84
66.56
66.01
65.45
64.91
64.51
52.6
64.09
63.63
63.31
62.87
62.46
62.1
61.77
61.35
60.89
60.44
59.98
59.53
59.12
58.71
58.39
58.43
58.18
57.87
